Razonamiento;Lectura_critica;Competencias_ciudadanas;Ingles;Resultado
119;157;131;146;Aceptable Desmpeno
102;96;0;0;Regular Desempeno
147;157;131;124;Aceptable Desmpeno
176;205;163;163;Buen Desempeno
118;135;118;141;Aceptable Desmpeno
147;158;104;117;Aceptable Desmpeno
109;105;108;113;Regular Desempeno
153;160;109;163;Aceptable Desmpeno
135;174;145;146;Buen Desempeno
179;212;173;164;Buen Desempeno
106;139;115;143;Aceptable Desmpeno
154;140;132;155;Aceptable Desmpeno
99;96;85;115;Regular Desempeno
120;151;141;146;Aceptable Desmpeno
98;104;90;111;Regular Desempeno
0;174;99;151;Regular Desempeno
97;119;95;144;Aceptable Desmpeno
113;108;95;141;Aceptable Desmpeno
117;88;129;146;Aceptable Desmpeno
135;118;83;158;Aceptable Desmpeno
172;133;146;144;Buen Desempeno
164;198;131;216;Buen Desempeno
132;116;142;122;Aceptable Desmpeno
116;114;108;149;Aceptable Desmpeno
140;152;147;178;Buen Desempeno
130;152;127;158;Aceptable Desmpeno
92;120;118;106;Regular Desempeno
122;151;133;150;Aceptable Desmpeno
108;74;83;102;Regular Desempeno
96;117;106;126;Aceptable Desmpeno
121;84;93;106;Regular Desempeno
175;130;119;152;Aceptable Desmpeno
119;118;91;131;Aceptable Desmpeno
141;117;139;128;Aceptable Desmpeno
70;90;108;124;Regular Desempeno
121;167;119;158;Aceptable Desmpeno
109;145;142;117;Aceptable Desmpeno
99;130;80;104;Regular Desempeno
116;142;144;139;Aceptable Desmpeno
102;125;89;117;Regular Desempeno
108;114;121;135;Aceptable Desmpeno
108;118;119;94;Regular Desempeno
88;100;89;76;Regular Desempeno
121;151;147;145;Aceptable Desmpeno
123;127;141;140;Aceptable Desmpeno
102;115;144;136;Aceptable Desmpeno
102;92;126;115;Regular Desempeno
146;137;136;123;Aceptable Desmpeno
156;137;138;149;Aceptable Desmpeno
98;140;84;124;Aceptable Desmpeno
158;165;156;131;Buen Desempeno
141;153;125;156;Aceptable Desmpeno
136;121;128;148;Aceptable Desmpeno
177;188;163;188;Buen Desempeno
150;171;157;169;Buen Desempeno
182;177;123;149;Buen Desempeno
108;127;118;154;Aceptable Desmpeno
192;157;139;170;Buen Desempeno
150;137;115;122;Aceptable Desmpeno
175;135;133;128;Aceptable Desmpeno
161;153;148;175;Buen Desempeno
170;144;146;154;Buen Desempeno
159;125;143;150;Aceptable Desmpeno
198;195;169;156;Buen Desempeno
130;151;108;110;Aceptable Desmpeno
188;176;180;175;Buen Desempeno
137;156;153;113;Aceptable Desmpeno
179;151;135;163;Buen Desempeno
139;168;132;142;Aceptable Desmpeno
161;162;128;107;Aceptable Desmpeno
165;190;151;143;Buen Desempeno
158;159;157;179;Buen Desempeno
128;126;144;145;Aceptable Desmpeno
165;77;95;194;Aceptable Desmpeno
163;224;206;154;Buen Desempeno
170;138;159;160;Buen Desempeno
153;173;143;150;Buen Desempeno
167;151;166;166;Buen Desempeno
85;143;88;111;Regular Desempeno
180;191;189;196;Buen Desempeno
186;173;143;172;Buen Desempeno
134;139;147;154;Aceptable Desmpeno
158;154;78;160;Aceptable Desmpeno
142;159;149;99;Aceptable Desmpeno
131;117;154;158;Aceptable Desmpeno
166;162;153;175;Buen Desempeno
150;191;166;151;Buen Desempeno
168;156;150;155;Buen Desempeno
176;145;154;187;Buen Desempeno
156;185;112;184;Buen Desempeno
129;142;112;140;Aceptable Desmpeno
153;108;100;128;Aceptable Desmpeno
152;149;142;176;Buen Desempeno
180;143;170;179;Buen Desempeno
119;110;92;154;Aceptable Desmpeno
183;211;166;189;Buen Desempeno
177;147;150;118;Buen Desempeno
106;139;104;137;Aceptable Desmpeno
130;99;108;142;Aceptable Desmpeno
177;165;187;146;Buen Desempeno
169;161;134;161;Buen Desempeno
191;161;181;186;Buen Desempeno
111;109;97;153;Aceptable Desmpeno
187;155;189;185;Buen Desempeno
137;123;131;143;Aceptable Desmpeno
201;174;185;152;Buen Desempeno
170;133;124;113;Aceptable Desmpeno
155;96;80;158;Aceptable Desmpeno
141;172;162;170;Buen Desempeno
147;159;123;139;Aceptable Desmpeno
158;159;125;145;Aceptable Desmpeno
141;181;157;162;Buen Desempeno
148;120;126;139;Aceptable Desmpeno
181;185;181;172;Buen Desempeno
145;83;80;168;Aceptable Desmpeno
152;133;169;149;Buen Desempeno
159;153;175;180;Buen Desempeno
137;170;127;172;Buen Desempeno
172;187;185;173;Buen Desempeno
103;132;126;149;Aceptable Desmpeno
163;182;194;202;Buen Desempeno
133;168;156;169;Buen Desempeno
161;100;120;134;Aceptable Desmpeno
161;127;146;141;Aceptable Desmpeno
172;183;195;189;Buen Desempeno
163;132;135;139;Aceptable Desmpeno
159;210;195;206;Buen Desempeno
149;111;126;144;Aceptable Desmpeno
174;155;160;135;Buen Desempeno
143;80;108;183;Aceptable Desmpeno
163;99;102;158;Aceptable Desmpeno
179;191;167;189;Buen Desempeno
168;122;181;187;Buen Desempeno
137;138;130;162;Aceptable Desmpeno
180;197;105;145;Buen Desempeno
181;79;95;153;Aceptable Desmpeno
158;191;186;205;Buen Desempeno
120;136;120;147;Aceptable Desmpeno
152;146;154;114;Aceptable Desmpeno
142;162;158;154;Buen Desempeno
166;142;173;145;Buen Desempeno
188;176;82;177;Buen Desempeno
127;158;96;179;Aceptable Desmpeno
170;150;176;181;Buen Desempeno
149;160;134;141;Aceptable Desmpeno
220;209;193;195;Buen Desempeno
160;143;152;153;Buen Desempeno
164;120;161;199;Buen Desempeno
103;161;110;143;Aceptable Desmpeno
114;146;117;145;Aceptable Desmpeno
101;136;108;139;Aceptable Desmpeno
143;65;132;179;Aceptable Desmpeno
171;132;149;160;Buen Desempeno
150;153;142;174;Buen Desempeno
155;143;147;145;Buen Desempeno
162;152;160;154;Buen Desempeno
125;183;146;108;Aceptable Desmpeno
182;165;160;169;Buen Desempeno
176;163;146;162;Buen Desempeno
197;178;181;190;Buen Desempeno
158;103;116;141;Aceptable Desmpeno
113;125;126;135;Aceptable Desmpeno
171;180;143;173;Buen Desempeno
174;178;176;151;Buen Desempeno
170;150;155;172;Buen Desempeno
187;175;166;181;Buen Desempeno
169;157;163;167;Buen Desempeno
167;162;191;195;Buen Desempeno
153;177;164;176;Buen Desempeno
158;171;174;157;Buen Desempeno
123;148;143;124;Aceptable Desmpeno
162;143;167;183;Buen Desempeno
124;158;169;152;Buen Desempeno
137;154;98;143;Aceptable Desmpeno
160;169;191;195;Buen Desempeno
150;179;172;141;Buen Desempeno
177;198;194;154;Buen Desempeno
177;187;153;148;Buen Desempeno
88;142;170;133;Aceptable Desmpeno
144;158;128;108;Aceptable Desmpeno
152;163;174;138;Buen Desempeno
154;151;162;133;Buen Desempeno
147;95;130;130;Aceptable Desmpeno
126;111;120;122;Aceptable Desmpeno
170;173;185;153;Buen Desempeno
125;86;110;116;Regular Desempeno
136;123;110;96;Aceptable Desmpeno
172;132;156;125;Aceptable Desmpeno
124;124;110;122;Aceptable Desmpeno
127;110;92;130;Aceptable Desmpeno
129;132;114;157;Aceptable Desmpeno
121;134;164;108;Aceptable Desmpeno
151;168;132;136;Aceptable Desmpeno
123;81;112;120;Regular Desempeno
157;113;117;140;Aceptable Desmpeno
129;111;110;100;Aceptable Desmpeno
146;130;112;102;Aceptable Desmpeno
152;168;155;172;Buen Desempeno
187;138;116;132;Aceptable Desmpeno
173;137;128;87;Aceptable Desmpeno
109;66;108;78;Regular Desempeno
165;146;131;142;Aceptable Desmpeno
102;134;132;144;Aceptable Desmpeno
151;119;118;113;Aceptable Desmpeno
176;163;168;167;Buen Desempeno
74;72;97;108;Regular Desempeno
149;131;134;135;Aceptable Desmpeno
124;137;109;79;Aceptable Desmpeno
120;160;141;195;Buen Desempeno
142;166;123;180;Buen Desempeno
105;166;179;144;Buen Desempeno
108;115;118;111;Aceptable Desmpeno
134;173;108;99;Aceptable Desmpeno
159;165;141;142;Buen Desempeno
164;159;92;203;Buen Desempeno
129;120;114;115;Aceptable Desmpeno
171;167;137;142;Buen Desempeno
162;112;139;143;Aceptable Desmpeno
135;107;94;137;Aceptable Desmpeno
143;139;145;150;Aceptable Desmpeno
106;149;142;128;Aceptable Desmpeno
116;108;111;158;Aceptable Desmpeno
178;137;96;140;Aceptable Desmpeno
100;131;137;137;Aceptable Desmpeno
126;173;125;148;Aceptable Desmpeno
129;144;155;142;Aceptable Desmpeno
122;148;135;149;Aceptable Desmpeno
120;90;90;134;Regular Desempeno
157;130;109;158;Aceptable Desmpeno
115;115;114;144;Aceptable Desmpeno
142;113;170;146;Aceptable Desmpeno
213;211;202;183;Buen Desempeno
120;147;143;148;Aceptable Desmpeno
149;111;163;152;Aceptable Desmpeno
161;91;148;131;Aceptable Desmpeno
142;138;172;150;Buen Desempeno
168;155;170;182;Buen Desempeno
131;99;69;151;Aceptable Desmpeno
162;165;146;140;Buen Desempeno
137;184;153;147;Buen Desempeno
183;181;171;152;Buen Desempeno
162;150;162;152;Buen Desempeno
161;143;159;151;Buen Desempeno
90;107;101;148;Aceptable Desmpeno
196;175;61;89;Aceptable Desmpeno
152;92;142;149;Aceptable Desmpeno
144;148;112;161;Aceptable Desmpeno
170;149;156;175;Buen Desempeno
171;130;108;136;Aceptable Desmpeno
144;127;89;172;Aceptable Desmpeno
196;215;179;175;Buen Desempeno
190;192;152;175;Buen Desempeno
169;159;162;144;Buen Desempeno
152;156;136;108;Aceptable Desmpeno
127;107;153;161;Aceptable Desmpeno
124;118;113;140;Aceptable Desmpeno
176;121;172;126;Buen Desempeno
187;138;176;145;Buen Desempeno
135;135;140;169;Aceptable Desmpeno
166;154;116;135;Aceptable Desmpeno
131;102;82;118;Regular Desempeno
159;114;151;174;Buen Desempeno
130;108;87;129;Aceptable Desmpeno
127;122;129;113;Aceptable Desmpeno
116;158;156;110;Aceptable Desmpeno
111;166;117;155;Aceptable Desmpeno
142;187;167;167;Buen Desempeno
165;163;140;144;Buen Desempeno
129;134;153;159;Aceptable Desmpeno
89;119;79;135;Regular Desempeno
170;150;134;146;Buen Desempeno
125;126;135;141;Aceptable Desmpeno
186;194;174;143;Buen Desempeno
108;158;168;135;Aceptable Desmpeno
171;200;184;157;Buen Desempeno
104;125;110;107;Aceptable Desmpeno
182;229;209;156;Buen Desempeno
108;109;85;129;Regular Desempeno
112;125;136;136;Aceptable Desmpeno
127;147;112;119;Aceptable Desmpeno
186;178;225;187;Buen Desempeno
140;170;163;149;Buen Desempeno
138;181;149;154;Buen Desempeno
160;151;153;115;Aceptable Desmpeno
168;168;147;124;Buen Desempeno
148;176;178;169;Buen Desempeno
104;179;158;214;Buen Desempeno
152;146;117;201;Buen Desempeno
120;178;130;200;Buen Desempeno
200;183;165;193;Buen Desempeno
156;197;188;212;Buen Desempeno
136;145;123;179;Aceptable Desmpeno
115;134;112;183;Aceptable Desmpeno
133;156;163;198;Buen Desempeno
171;167;153;197;Buen Desempeno
162;145;187;216;Buen Desempeno
182;177;184;211;Buen Desempeno
136;204;114;187;Buen Desempeno
164;186;169;141;Buen Desempeno
119;130;86;175;Aceptable Desmpeno
122;123;141;160;Aceptable Desmpeno
155;182;165;184;Buen Desempeno
152;199;142;190;Buen Desempeno
132;149;133;188;Buen Desempeno
173;191;164;184;Buen Desempeno
134;176;148;216;Buen Desempeno
135;186;168;193;Buen Desempeno
144;164;124;195;Buen Desempeno
94;163;167;192;Buen Desempeno
98;95;79;184;Aceptable Desmpeno
157;108;113;147;Aceptable Desmpeno
140;139;121;181;Aceptable Desmpeno
149;128;135;135;Aceptable Desmpeno
82;151;159;167;Aceptable Desmpeno
110;147;107;113;Aceptable Desmpeno
110;98;113;128;Aceptable Desmpeno
173;200;132;161;Buen Desempeno
124;92;117;147;Aceptable Desmpeno
164;146;162;165;Buen Desempeno
114;93;114;119;Aceptable Desmpeno
114;111;140;123;Aceptable Desmpeno
151;140;128;165;Aceptable Desmpeno
147;108;121;179;Aceptable Desmpeno
167;148;131;150;Buen Desempeno
99;108;97;111;Regular Desempeno
162;181;158;92;Buen Desempeno
116;156;176;181;Buen Desempeno
185;175;132;150;Buen Desempeno
152;167;95;194;Buen Desempeno
141;138;151;157;Aceptable Desmpeno
143;138;118;167;Aceptable Desmpeno
126;125;150;145;Aceptable Desmpeno
133;173;155;130;Buen Desempeno
143;72;157;158;Aceptable Desmpeno
88;145;113;159;Aceptable Desmpeno
166;179;183;160;Buen Desempeno
